"Alert Email Sender","Remitente de Correo de Alerta"
"Alert subscription has been saved.","Alerta guardada."
"Allow Alert When Product Comes Back in Stock","Permitir alerta cuando el producto regrese a existencia"
"Allow Alert When Product Price Changes","Allow Alert When Product Price Changes"
"Click here not to receive alerts for this product","Haz click aquí para no recibir alertas de este producto"
"Error Email Recipient","Error en Recipiente de Correo"
"Error Email Sender","Error en Remitente de Correo"
"Error Email Template","Error Email Template"
"Frequency","Frecuencia"
"Not enough parameters.","Parámetros no suficientes."
"Price Alert Email Template","Price Alert Email Template"
"Price:","Precio:"
"Product Alerts","Alertas de Producto"
"Product Alerts Run Settings","Product Alerts Run Settings"
"Product alerts Cron error","Product alerts Cron error"
"Product price alert","Alerta de precio de producto"
"Product stock alert","Alerta de existencia de producto"
"Regular Price:","Precio Normal:"
"Sign up for price alert","Recibir alerta cuando cambie el precio del producto"
"Sign up to get notified when this product is back in stock","Recibir alerta cuando el producto esté en existencia"
"Special price:","Precio Especial:"
"Start Time","Tiempo de Inicio"
"Stock Alert Email Template","Stock Alert Email Template"
"The alert subscription has been deleted.","La alerta fue eliminada."
"The alert subscription has been saved.","La alerta fue guardada."
"The product is not found.","Este producto no se encuentra disponible."
"The product was not found.","Este producto no se encuentra disponible."
"Unable to update the alert subscription.","Alerta no actualizada."
"Unsubscribe from all price alerts","Eliminar todas las alertas de precio"
"Unsubscribe from all stock alerts","Eliminar todas las alertas de existencia"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Estás recibiendo este correo porque solicitaste una alerta cuando los siguientes productos estén en existencias:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Estás recibiendo este correo porque solicitaste una alerta cuando los siguientes productos tengan cambio en su precio:"
"You will no longer receive price alerts for this product.","Ya no recibirás alertas de precio de este producto."
"You will no longer receive stock alerts for this product.","Ya no recibirás alertas de existencia de este producto."
"You will no longer receive stock alerts.","Ya no recibirás alertas de existencia."
